,code,pinyin_abbr,fund_name,fund_type,pinyin
216,000307,YFDHJETFLJA,易方达黄金ETF联接A,指数型-其他,YIFANGDAHUANGJINETFLIANJIEA
217,000308,JXCXZGHH,建信创新中国混合,混合型-偏股,JIANXINCHUANGXINZHONGGUOHUNHE
218,000309,DMPZSHJXGPA,大摩品质生活精选股票A,股票型,DAMOPINZHISHENGHUOJINGXUANGUPIAOA
219,000310,AXYLXYZQA,安信永利信用债券A,债券型-混合一级,ANXINYONGLIXINYONGZHAIQUANA
220,000311,JSCCHS300ZSZQA,景顺长城沪深300指数增强A,指数型-股票,JINGSHUNCHANGCHENGHUSHEN300ZHISHUZENGQIANGA
221,000312,HAHS300ZQA,华安沪深300增强A,指数型-股票,HUAANHUSHEN300ZENGQIANGA
222,000313,HAHS300ZQC,华安沪深300增强C,指数型-股票,HUAANHUSHEN300ZENGQIANGC
223,000314,ZSRFLHPZHHFQSA,招商瑞丰灵活配置混合发起式A,混合型-灵活,ZHAOSHANGRUIFENGLINGHUOPEIZHIHUNHEFAQISHIA
224,000319,HLTLZQA,宏利淘利债券A,债券型-混合一级,HONGLITAOLIZHAIQUANA
225,000320,HLTLZQC,宏利淘利债券C,债券型-混合一级,HONGLITAOLIZHAIQUANC
226,000322,NYHLJHZQA,农银汇理金汇债券A,债券型-长债,NONGYINHUILIJINHUIZHAIQUANA
227,000324,HRYDXJSYHBA,华润元大现金收益货币A,货币型-普通货币,HUARUNYUANDAXIANJINSHOUYIHUOBIA
228,000325,HRYDXJSYHBB,华润元大现金收益货币B,货币型-普通货币,HUARUNYUANDAXIANJINSHOUYIHUOBIB
229,000326,NFZXPCZGPA,南方中小盘成长股票A,股票型,NANFANGZHONGXIAOPANCHENGZHANGGUPIAOA
230,000327,NFQLXLCHHA,南方潜力新蓝筹混合A,混合型-偏股,NANFANGQIANLIXINLANCHOUHUNHEA
231,000328,MGZXDLHHA,摩根转型动力混合A,混合型-灵活,MOGENZHUANXINGDONGLIHUNHEA
232,000329,PHFRDKZ,鹏华丰饶定开债,债券型-混合一级,PENGHUAFENGRAODINGKAIZHAI
233,000330,HTFXJBHBA,汇添富现金宝货币A,货币型-普通货币,HUITIANFUXIANJINBAOHUOBIA
234,000331,ZJHBA,中加货币A,货币型-普通货币,ZHONGJIAHUOBIA
235,000332,ZJHBC,中加货币C,货币型-普通货币,ZHONGJIAHUOBIC
236,000333,CCWGSYZQA,长城稳固收益债券A,债券型-混合二级,CHANGCHENGWENGUSHOUYIZHAIQUANA
237,000334,CCWGSYZQC,长城稳固收益债券C,债券型-混合二级,CHANGCHENGWENGUSHOUYIZHAIQUANC
238,000335,AXYLXYZQC,安信永利信用债券C,债券型-混合一级,ANXINYONGLIXINYONGZHAIQUANC
239,000336,NYYJJXHH,农银研究精选混合,混合型-灵活,NONGYINYANJIUJINGXUANHUNHE
240,000338,PHSZBLZQB,鹏华双债保利债券B,债券型-混合二级,PENGHUASHUANGZHAIBAOLIZHAIQUANB
241,000339,CCYLBJHHA,长城医疗保健混合A,混合型-偏股,CHANGCHENGYILIAOBAOJIANHUNHEA
242,000341,JSXXSCC2QDII,嘉实新兴市场C2(QDII),QDII-纯债,JIASHIXINXINGSHICHANGC2QDII
243,000342,JSXXSCA1QDII,嘉实新兴市场A1(QDII),QDII-纯债,JIASHIXINXINGSHICHANGA1QDII
244,000343,HXCFBHBA,华夏财富宝货币A,货币型-普通货币,HUAXIACAIFUBAOHUOBIA
245,000345,PHFRDKZ,鹏华丰融定开债,债券型-混合一级,PENGHUAFENGRONGDINGKAIZHAI
246,000346,JXAXHB6GYDKA,建信安心回报6个月定开A,债券型-长债,JIANXINANXINHUIBAO6GEYUEDINGKAIA
247,000347,JXAXHB6GYDKC,建信安心回报6个月定开C,债券型-长债,JIANXINANXINHUIBAO6GEYUEDINGKAIC
248,000351,GFHFYNCYQZQA,国富恒丰一年持有期债券A,债券型-长债,GUOFUHENGFENGYINIANCHIYOUQIZHAIQUANA
249,000352,GFHFYNCYQZQC,国富恒丰一年持有期债券C,债券型-长债,GUOFUHENGFENGYINIANCHIYOUQIZHAIQUANC
250,000354,CSCZHZTHHA,长盛城镇化主题混合A,混合型-偏股,CHANGSHENGCHENGZHENHUAZHUTIHUNHEA
251,000355,NFFYXYZQZQA,南方丰元信用增强债券A,债券型-混合一级,NANFANGFENGYUANXINYONGZENGQIANGZHAIQUANA
252,000356,NFFYXYZQZQC,南方丰元信用增强债券C,债券型-混合一级,NANFANGFENGYUANXINYONGZENGQIANGZHAIQUANC
253,000359,YFDYLCHBA,易方达易理财货币A,货币型-普通货币,YIFANGDAYILICAIHUOBIA
254,000362,GTJXJZYSHHA,国泰聚信价值优势混合A,混合型-灵活,GUOTAIJUXINJIAZHIYOUSHIHUNHEA
255,000363,GTJXJZYSHHC,国泰聚信价值优势混合C,混合型-灵活,GUOTAIJUXINJIAZHIYOUSHIHUNHEC
256,000366,HTFTFTHBA,汇添富添富通货币A,货币型-普通货币,HUITIANFUTIANFUTONGHUOBIA
257,000367,GTAKDQZFHHA,国泰安康定期支付混合A,混合型-偏债,GUOTAIANKANGDINGQIZHIFUHUNHEA
258,000368,HTFHS300AZZSA,汇添富沪深300安中指数A,指数型-股票,HUITIANFUHUSHEN300ANZHONGZHISHUA
259,000369,GFQQYLBJZSRMBQDIIA,广发全球医疗保健指数人民币(QDII)A,指数型-海外股票,GUANGFAQUANQIUYILIAOBAOJIANZHISHURENMINBIQDIIA
260,000370,GFQQYLBJMYXHQDIIA,广发全球医疗保健美元现汇(QDII)A,指数型-海外股票,GUANGFAQUANQIUYILIAOBAOJIANMEIYUANXIANHUIQDIIA
261,000371,MSJYXJBHBA,民生加银现金宝货币A,货币型-普通货币,MINSHENGJIAYINXIANJINBAOHUOBIA
262,000372,ZYHLBNDQKFZQA,中银惠利半年定期开放债券A,债券型-长债,ZHONGYINHUILIBANNIANDINGQIKAIFANGZHAIQUANA
263,000373,HAZZXFYYETFLJA,华安中证细分医药ETF联接A,指数型-股票,HUAANZHONGZHENGXIFENYIYAOETFLIANJIEA
264,000376,HAZZXFYYETFLJC,华安中证细分医药ETF联接C,指数型-股票,HUAANZHONGZHENGXIFENYIYAOETFLIANJIEC
265,000377,MGSZZLZQA,摩根双债增利债券A,债券型-混合二级,MOGENSHUANGZHAIZENGLIZHAIQUANA
266,000378,MGSZZLZQC,摩根双债增利债券C,债券型-混合二级,MOGENSHUANGZHAIZENGLIZHAIQUANC
267,000379,PARZLHBA,平安日增利货币A,货币型-普通货币,PINGANRIZENGLIHUOBIA
268,000380,JSCCJYHBA,景顺长城景益货币A,货币型-普通货币,JINGSHUNCHANGCHENGJINGYIHUOBIA
269,000381,JSCCJYHBB,景顺长城景益货币B,货币型-普通货币,JINGSHUNCHANGCHENGJINGYIHUOBIB
270,000385,JSCCJYSLZQA,景顺长城景颐双利债券A,债券型-混合二级,JINGSHUNCHANGCHENGJINGYISHUANGLIZHAIQUANA
271,000386,JSCCJYSLZQC,景顺长城景颐双利债券C,债券型-混合二级,JINGSHUNCHANGCHENGJINGYISHUANGLIZHAIQUANC
272,000389,GFTTHHBA,广发天天红货币A,货币型-普通货币,GUANGFATIANTIANHONGHUOBIA
273,000390,HSYSHYHHA,华商优势行业混合A,混合型-灵活,HUASHANGYOUSHIHANGYEHUNHEA
274,000394,RTTYDRZQA,融通通源短融债券A,债券型-中短债,RONGTONGTONGYUANDUANRONGZHAIQUANA
275,000395,HTFAXZGZQA,汇添富安心中国债券A,债券型-长债,HUITIANFUANXINZHONGGUOZHAIQUANA
276,000396,HTFAXZGZQC,汇添富安心中国债券C,债券型-长债,HUITIANFUANXINZHONGGUOZHAIQUANC
277,000397,HTFQEBHBA,汇添富全额宝货币A,货币型-普通货币,HUITIANFUQUANEBAOHUOBIA
278,000398,HFLHPZHHA,华富灵活配置混合A,混合型-灵活,HUAFULINGHUOPEIZHIHUNHEA
279,000402,GYCZZQA,工银纯债债券A,债券型-长债,GONGYINCHUNZHAIZHAIQUANA
280,000403,GYCZZQB,工银纯债债券B,债券型-长债,GONGYINCHUNZHAIZHAIQUANB
281,000404,YFDXXCZLHPZ,易方达新兴成长灵活配置,混合型-灵活,YIFANGDAXINXINGCHENGZHANGLINGHUOPEIZHI
282,000406,HTFSLZQZQA,汇添富双利增强债券A,债券型-混合二级,HUITIANFUSHUANGLIZENGQIANGZHAIQUANA
283,000407,HTFSLZQZQC,汇添富双利增强债券C,债券型-混合二级,HUITIANFUSHUANGLIZENGQIANGZHAIQUANC
